	AveExpr	Coef	t	P.value	P.value.adj	Results
AT3G04210	8.14715	-0.592187	-0.66084	0.27626633	0.607174042	0
AT3G61430	7.88558	0.0183	0	0.97959505	0.999999999	0
AT3G52960	8.78739	0.650898	0.83187	0.21886479	0.526575695	0
AT3G18390	7.86822	0.783624	0.50052	0.43310898	0.74103544	0
AT3G53420	9.65847	0.984633	2.21582	0.01915394	0.131728534	0
AT3G61580	8.48328	0.915397	1.12088	0.1523565	0.444960356	0
AT3G48360	9.47816	0.611798	1.08583	0.14609511	0.434707479	0
AT3G12780	12.55898	0.004909	0	0.99961192	0.999999999	0
AT3G48420	8.50429	0.305156	0	0.62011901	0.88122175	0
AT3G63490	9.47226	-0.443162	-0.52372	0.30471808	0.634684239	0
AT3G61440	9.90457	-0.59123	-1.29736	0.10450548	0.365941293	0
AT3G17390	10.27921	-1.420436	-5.50291	9.66e-06	0.000281554	-1
AT3G47650	8.29999	-0.917836	-1.44815	0.08460638	0.326338889	0
AT3G26740	10.09697	1.325445	4.28097	0.00017032	0.003762431	1
AT3G28180	8.41311	0.390478	0.13858	0.52792106	0.81214323	0
AT3G09440	7.93469	-1.04439	-1.27751	0.12027294	0.394950333	0
AT3G01480	8.46087	0.13806	0	0.80739885	0.980989606	0
AT3G52700	13.79064	-1.18547	-1.59221	0.06889419	0.293706809	0
AT3G25770	8.36589	0.363354	0.0745	0.58645546	0.849952351	0
AT3G18890	8.43067	0.132388	0	0.81488664	0.98225285	0
AT3G15730	9.20205	-0.887962	-2.27829	0.01675156	0.121491198	0
AT3G19680	8.4298	-0.410094	-0.2502	0.42763781	0.73642274	0
AT3G45140	11.0139	-0.582937	-1.43591	0.08300366	0.322011902	0
AT3G63410	9.6122	-0.086908	0	0.8807473	0.996995	0
AT3G58610	9.36886	-0.288322	0	0.56553621	0.829528963	0
AT3G63140	10.64325	-0.630968	-1.76037	0.04655504	0.226257475	0
AT3G63160	8.66985	-0.116515	0	0.82898346	0.98225285	0
AT3G56150	8.65192	-0.777013	-1.48001	0.07786093	0.313594592	0
AT3G63520	9.15342	-0.258817	0	0.61296851	0.876148295	0
AT3G01120	8.96713	-0.718334	-1.15047	0.13481782	0.419991093	0
AT3G27690	9.82333	1.209893	3.45596	0.00120258	0.016859245	1
AT3G19170	9.63839	0.00217	0	0.99695859	0.999999999	0
AT3G22120	10.66206	-0.015554	0	0.98662938	0.999999999	0
AT3G26570	8.64445	0.576619	0.57819	0.31183482	0.638560624	0
AT3G23400	8.57278	0.265583	0	0.62934912	0.88784929	0
AT3G55980	9.45232	0.104803	0	0.85125873	0.98225285	0
AT3G47070	8.86025	0.096718	0	0.85806251	0.983533915	0
AT3G02260	9.27025	-0.39833	-0.29994	0.38868801	0.70668691	0
AT3G48560	9.9642	0.305928	0	0.53609576	0.81214323	0
AT3G09390	9.2141	0.583593	0.88357	0.19654596	0.503238244	0
AT3G26520	10.72466	1.544228	5.85653	4.31e-06	0.000149633	1
AT3G54050	10.1873	-0.155615	0	0.79083046	0.976364959	0
AT3G62550	7.64157	2.765984	1.88321	0.05040385	0.241739508	0
AT3G15190	8.53645	0.352554	0.06906	0.54448422	0.81214323	0
AT3G23920	9.01996	-1.063953	-2.57452	0.00893872	0.076662702	-1
AT3G27850	9.34744	0.640627	0.99533	0.16891877	0.475450905	0
AT3G13460	8.83633	-0.226317	0	0.66499432	0.91265734	0
AT3G50950	9.16309	0.260285	0	0.61573054	0.876694454	0
AT3G44110	8.44941	-0.742323	-1.10925	0.14532019	0.434173839	0
AT3G27830	9.67283	0.451753	0.47987	0.32289883	0.644913005	0
