	AveExpr	Coef	t	P.value	P.value.adj	Results
AT5G24930	8.74436	0.684347	0.89633	0.20088495	0.504983206	0
AT5G18670	8.37883	0.758815	0.70307	0.29332816	0.623429238	0
AT5G23120	9.26524	0.458329	0.50161	0.31524097	0.640141134	0
AT5G23010	5.96339	-3.961514	-3.99399	0.00039913	0.007274147	-1
AT5G19120	8.80819	0.364155	0.12086	0.48403732	0.773822823	0
AT5G09650	8.39411	-0.408815	-0.24846	0.42769282	0.73642274	0
AT5G47040	8.13207	0.198654	0	0.77048126	0.968415242	0
AT5G19140	8.92761	-0.357321	-0.11759	0.47123755	0.768681458	0
AT5G41790	8.74886	-0.001725	0	0.99749164	0.999999999	0
AT5G09810	8.13338	-0.072127	0	0.91151182	0.999999999	0
AT5G53300	8.75851	-0.940663	-2.19078	0.02012775	0.132027361	0
AT5G51970	8.44093	0.027736	0	0.96237265	0.999999999	0
AT5G24690	7.83599	0.749082	0.47676	0.44197294	0.744333165	0
AT5G41750	8.64345	0.815762	0.97086	0.18961766	0.500837941	0
AT5G42980	8.38904	0.888042	0.98669	0.19122969	0.503238244	0
AT5G28500	8.76918	0.598972	0.67556	0.27127537	0.60292606	0
AT5G08670	9.16324	-0.938996	-2.48819	0.01074101	0.090237566	-1
AT5G20230	8.71103	-1.489604	-3.89832	0.00042487	0.007554347	-1
AT5G67300	8.2005	1.950132	1.6399	0.07441523	0.306087407	0
AT5G02870	8.5573	0.876428	1.11085	0.15259271	0.444960356	0
AT5G56010	8.74127	-0.436753	-0.39636	0.35601602	0.674059134	0
AT5G35170	8.59773	0.721165	0.86328	0.21644907	0.526575695	0
AT5G14740	12.55086	-0.255953	0	0.71656346	0.936437971	0
AT5G05200	8.14878	-0.862217	-1.28998	0.11071481	0.377154656	0
AT5G64940	8.91792	-0.482505	-0.57891	0.28875987	0.61993894	0
AT5G20290	9.29813	0.126222	0	0.81924402	0.98225285	0
AT5G08680	8.00237	-2.057141	-3.26808	0.00196434	0.025467105	-1
AT5G08690	8.94392	0.230204	0	0.66076379	0.908861887	0
AT5G17920	10.4102	-0.285024	0	0.57697628	0.841231411	0
AT5G05170	9.32155	-0.933729	-2.29946	0.01604802	0.11937765	0
AT5G64740	8.81319	-1.079862	-2.62298	0.0080417	0.069790475	-1
AT5G64290	8.15889	-0.42783	-0.23169	0.46753439	0.768681458	0
AT5G14780	8.80383	-0.074746	0	0.89042948	0.999999999	0
AT5G47910	8.83737	-0.199129	0	0.70541018	0.931601492	0
AT5G60600	9.67513	-0.554543	-0.97867	0.17020649	0.47620167	0
AT5G15780	8.49977	1.082642	1.26066	0.1257878	0.405749145	0
AT5G15200	8.3202	0.217783	0	0.71441232	0.936437971	0
AT5G51070	8.62397	-0.168574	0	0.75233427	0.955184594	0
AT5G20010	8.82266	-0.028692	0	0.95788314	0.999999999	0
AT5G19940	8.21096	-0.768136	-1.00514	0.17470042	0.478784243	0
AT5G65220	8.35391	1.090127	1.24915	0.12886464	0.407287024	0
AT5G03880	8.3655	0.248272	0	0.67615495	0.921340103	0
AT5G02960	8.2951	-0.530486	-0.46291	0.36039538	0.675393914	0
AT5G20630	9.31732	0.610778	1.03457	0.15796208	0.45696172	0
AT5G48300	8.93008	-0.178925	0	0.73719467	0.94882709	0
AT5G50920	11.85789	-0.223213	0	0.80099286	0.978096809	0
AT5G51110	8.45219	-0.184042	0	0.73844641	0.94882709	0
AT5G24210	8.74309	-1.014745	-2.28362	0.01665119	0.121491198	0
AT5G08530	8.26138	-1.259425	-2.36414	0.01429897	0.10806384	0
AT5G64840	9.79591	0.618368	1.11434	0.13993751	0.426838672	0
AT5G14120	9.58918	-1.029069	-3.05955	0.00300976	0.034529508	-1
AT5G64570	8.8183	-0.709265	-1.35744	0.09544371	0.353529465	0
AT5G13650	10.21505	-0.802738	-2.70485	0.00668084	0.062440121	-1
AT5G41700	8.28038	0.563321	0.44455	0.38969566	0.70668691	0
AT5G04140	12.64977	-0.037432	0	0.9910849	0.999999999	0
AT5G25980	6.561	-7.495041	-8.2889	3e-08	3.305e-06	-1
AT5G58330	9.32763	0.311193	0	0.53730692	0.81214323	0
AT5G26000	12.14023	-1.23554	-9.62388	0	3.1e-07	-1
AT5G26742	10.19425	-0.218653	0	0.69819491	0.928803079	0
AT5G64040	10.73066	0.535489	1.004	0.16378297	0.466397595	0
AT5G10470	7.86864	-1.179701	-1.61754	0.0654721	0.284102133	0
AT5G38520	8.36883	0.521947	0.41488	0.3886665	0.70668691	0
AT5G46110	11.43649	-0.487917	-1.1047	0.14098322	0.42823654	0
AT5G60360	9.25309	-0.311034	0	0.53099987	0.81214323	0
AT5G40450	9.3197	0.176894	0	0.73927817	0.94882709	0
AT5G09660	11.19459	-0.298503	0	0.56342234	0.828094521	0
AT5G38410	15.51476	-0.139331	0	0.99992343	0.999999999	0
AT5G17230	8.41931	1.333551	1.54116	0.07916046	0.317076804	0
AT5G56030	7.83353	1.120964	0.79467	0.30100168	0.631461721	0
AT5G43940	8.27645	-0.495594	-0.44969	0.35206935	0.671881037	0
AT5G20250	11.50031	1.650504	7.46864	1.3e-07	9.62e-06	1
AT5G10450	8.86764	0.294302	0	0.57444384	0.839217551	0
ATCG00420	8.2853	-0.140004	0	0.80497945	0.979682831	0
ATCG00830	8.22967	-0.147249	0	0.79694215	0.976364959	0
ATCG00490	8.24044	2.209126	1.85596	0.04955674	0.239250771	0
ATCG00020	8.90867	3.204195	2.5409	0.01224955	0.099221362	1
ATCG00800	8.39191	-0.141904	0	0.80877207	0.981023029	0
ATCG00780	8.61981	-0.901353	-1.66645	0.05636477	0.258427131	0
ATCG00430	9.07578	0.410489	0.28236	0.40507139	0.717551267	0
ATCG01310	8.22967	-0.147249	0	0.79694215	0.976364959	0
ATCG00480	9.95224	1.405995	3.78834	0.00055066	0.009123477	1
ATCG00790	8.36122	-0.563155	-0.67886	0.26302305	0.591801854	0
ATCG01130	8.48204	-1.030951	-1.78674	0.04564171	0.224816252	0
ATCG00470	8.78634	2.7701	2.75646	0.00708684	0.06378152	1
ATCG00280	8.886	0.55608	0.55972	0.31496549	0.640141134	0
