rank	gene	score
4002	PPM1G	3.038994407875777e-05
4003	CD1C	3.03875211295301e-05
4004	NRP2	3.0386637102713556e-05
4005	NUDC	3.037309098378809e-05
4006	TOP1MT	3.036689668511648e-05
4007	IFNE	3.0352514497910777e-05
4008	CDCA7L	3.0349584639782082e-05
4009	UBASH3B	3.0329018809500395e-05
4010	KRT6A	3.0325404622817682e-05
4011	GATA5	3.032287270118511e-05
4012	GPNMB	3.0311507023953467e-05
4013	GAD2	3.0301517783998183e-05
4014	GSTM1	3.029468041051852e-05
4015	EDN3	3.0294609377206164e-05
4016	EPM2AIP1	3.0286269049996577e-05
4017	PTPA	3.0282413121386258e-05
4018	IL1RN	3.0280111268832975e-05
4019	ADGRL3	3.026694930844948e-05
4020	ADIPOR2	3.026607994423619e-05
4021	ATN1	3.0256831940115898e-05
4022	CD209	3.0247933616430324e-05
4023	IFNK	3.0222701213548726e-05
4024	TFF1	3.0221825076482824e-05
4025	CAB39	3.020509011945732e-05
4026	EFEMP1	3.0187514780338383e-05
4027	EXOC8	3.012379901312621e-05
4028	PDE4A	3.0119834919178303e-05
4029	MAST1	3.0117330933604376e-05
4030	NDUFAB1	3.0115846079247925e-05
4031	PRKG1	3.0115172203221967e-05
4032	VDAC2	3.01101512118716e-05
4033	FDXR	3.0105991496097844e-05
4034	MBTPS2	3.0088099945075383e-05
4035	CDC42BPA	3.0072310446538952e-05
4036	EIF2S3	3.0049187850162624e-05
4037	NR4A2	3.0038713292652302e-05
4038	NEFL	3.0037553789267963e-05
4039	ADAMTS4	3.0021340546669012e-05
4040	SARDH	2.9971244595949633e-05
4041	BCAT1	2.997000163124349e-05
4042	SFTPD	2.9951334619685457e-05
4043	RTN4R	2.9946082744620872e-05
4044	ADAM9	2.9945448073675533e-05
4045	TNKS1BP1	2.9934087614967736e-05
4046	UNC93A	2.993245794925585e-05
4047	TGM2	2.9924221560528174e-05
4048	BCORL1	2.9893820584646636e-05
4049	JMJD6	2.987944456110766e-05
4050	MRPS10	2.985774911621117e-05
4051	PTPRG	2.9844431379937123e-05
4052	UBASH3A	2.9835903337155215e-05
4053	UBALD1	2.9828388864335748e-05
4054	AMER1	2.9812937594935598e-05
4055	SYVN1	2.9804076104569554e-05
4056	ATP5F1D	2.9802665234622064e-05
4057	MDH2	2.98011514110383e-05
4058	H1-4	2.977803034175661e-05
4059	KPNA4	2.9773543365476678e-05
4060	DUOX2	2.9748943088240653e-05
4061	GPR37	2.9713097486654354e-05
4062	LAMA4	2.9703199663682364e-05
4063	ZBTB10	2.9684160580934135e-05
4064	TIMP4	2.9678219724285017e-05
4065	SERBP1	2.9639631659400412e-05
4066	SUPT3H	2.9589018911093578e-05
4067	ANGPT4	2.958773365778049e-05
4068	PPP2R3A	2.9576477461904685e-05
4069	USP21	2.957348112114372e-05
4070	KIF18B	2.956708058772514e-05
4071	TRPM4	2.9550074323252217e-05
4072	SENP1	2.950641838057744e-05
4073	UTY	2.9499697020549026e-05
4074	LTBP3	2.9488877213106163e-05
4075	INSM1	2.9482968827285626e-05
4076	SLC25A3	2.9482508144951965e-05
4077	GRK3	2.9477864804942345e-05
4078	SLC25A4	2.9471797069591878e-05
4079	IL5RA	2.9450388675721007e-05
4080	ALKBH5	2.9442922801019908e-05
4081	PPP1R3C	2.9440848494310646e-05
4082	IRF5	2.9437058335060245e-05
4083	GRPR	2.9421246495624915e-05
4084	SEPTIN9	2.9411572921783654e-05
4085	NIPBL	2.9395996384000605e-05
4086	DLL3	2.9385002392278084e-05
4087	SIX2	2.936212368631532e-05
4088	REPS2	2.93584850600641e-05
4089	PDE5A	2.935695307112241e-05
4090	GAPVD1	2.9301055692302308e-05
4091	AASDH	2.9293790513091285e-05
4092	KLLN	2.9274477813691033e-05
4093	SH2D2A	2.9272436375508343e-05
4094	MCF2	2.9269367706148323e-05
4095	MPG	2.9264831002946627e-05
4096	PSEN2	2.926340762914016e-05
4097	BIRC7	2.9256270429876134e-05
4098	CEP70	2.9248896165803826e-05
4099	POLR3B	2.9237712840042722e-05
4100	L3MBTL1	2.923474917761642e-05
4101	NDN	2.915533636253002e-05
4102	PYCR1	2.9134196104697347e-05
4103	KCNQ1	2.912009833177522e-05
4104	DTX1	2.91136168838778e-05
4105	FES	2.9111223579332704e-05
4106	THBD	2.9109680060159938e-05
4107	CCR10	2.9106466616384202e-05
4108	LOXL2	2.9106442476577397e-05
4109	OBSL1	2.907893273963967e-05
4110	GZMA	2.9076289277639336e-05
4111	XPOT	2.906684632868677e-05
4112	SMG5	2.905327350037119e-05
4113	SAFB	2.905179010874813e-05
4114	ZFX	2.9046779572618935e-05
4115	OTUD5	2.904376418556258e-05
4116	PDCD6	2.9042143374260852e-05
4117	CBLC	2.9039900145697598e-05
4118	ING1	2.9036976442492462e-05
4119	INSIG1	2.9035291771361966e-05
4120	RPS25	2.9024647958066287e-05
4121	LNPEP	2.9010662252385792e-05
4122	PSPC1	2.900866589325738e-05
4123	ADRB1	2.9005549546818632e-05
4124	SRPK2	2.8994309870527902e-05
4125	SLC5A1	2.899027514556953e-05
4126	S100A11	2.8967320411039158e-05
4127	IFNW1	2.8962582855349635e-05
4128	SERPINA5	2.895313515748805e-05
4129	SUPT20H	2.8949112263106475e-05
4130	TBX18	2.8941585181541624e-05
4131	SMYD2	2.892431559272817e-05
4132	LAMC3	2.892376866980862e-05
4133	PKLR	2.8921709811628297e-05
